steam_appid,release_date
1571440,"15 Apr, 2021"
1557740,"1 Apr, 2021"
1549970,"23 Aug, 2021"
702670,"28 Aug, 2018"
700600,"30 Mar, 2021"
692850,"18 Jun, 2019"
682990,"16 Apr, 2020"
681280,"7 May, 2019"
674020,"10 Dec, 2022"
657200,"18 Jul, 2017"
653530,"18 Oct, 2018"
648800,"20 Jun, 2022"
646570,"23 Jan, 2019"
644930,"18 Jun, 2019"
638970,"1 Aug, 2018"
638230,"11 Jun, 2020"
636480,"18 May, 2017"
629820,"25 May, 2021"
622650,"27 Apr, 2017"
617830,"25 May, 2017"
616560,"1 Jun, 2017"
612880,"26 Oct, 2017"
611670,"2 Apr, 2018"
603850,"21 Nov, 2018"
601840,"1 Jun, 2021"
601430,"12 Oct, 2017"
597170,"27 Jul, 2021"
597220,"10 Aug, 2017"
589590,"15 Jun, 2017"
583950,"28 Nov, 2018"
578620,"18 Jul, 2019"
568220,"9 Apr, 2018"
456750,"13 Nov, 2018"
447820,"23 Mar, 2017"
447530,"21 Jun, 2016"
447020,"24 Oct, 2016"
445220,"9 Mar, 2020"
437220,"Oct 5, 2017"
434570,"1 Feb, 2016"
433850,"28 Feb, 2018"
429050,"8 Jan, 2016"
427410,"22 Jul, 2025"
425580,"5 Jul, 2016"
423230,"5 Jul, 2016"
422970,"18 Feb, 2016"
420530,"8 Dec, 2016"
414700,N/A
414340,N/A
413410,"18 Feb, 2016"
413420,"18 Apr, 2016"
413150,N/A
409710,N/A
409720,N/A
406150,N/A
405640,N/A
403640,N/A
403190,N/A
402710,N/A
397950,"27 Sep, 2016"
397340,N/A
394510,N/A
393080,N/A
391540,N/A
388090,N/A
386940,N/A
386070,N/A
383150,N/A
236870,N/A
377840,N/A
376210,N/A
373420,N/A
371660,N/A
418030,N/A
1017180,N/A
1222690,N/A
799600,N/A
261640,N/A
49520,N/A
655500,N/A
2828860,N/A
2310,"3 Aug, 2007"
275850,"12 Aug, 2016"
2537590,N/A
774181,N/A
3146520,N/A
283640,N/A
2027330,N/A
629520,N/A
230230,N/A
2365810,N/A
463530,N/A
858210,N/A
450540,N/A
881100,N/A
1244090,N/A
2379780,N/A
504230,"25 Jan, 2018"
739630,N/A
2933620,N/A
1888930,N/A
2142790,N/A
323190,"24 Apr, 2018"
303210,N/A
341800,N/A
424030,N/A
894020,N/A
774801,N/A
1533390,N/A
728880,"7 Aug, 2018"
2124490,N/A
2881650,N/A
692890,N/A
1325200,N/A
387990,N/A
1164940,N/A
1182900,"Oct 17, 2022"
268650,N/A
2141730,N/A
2768430,N/A
895870,N/A
1366800,N/A
34030,N/A
1167630,N/A
690830,N/A
1789480,N/A
326460,N/A
732430,N/A
553420,N/A
553850,N/A
526870,N/A
383120,N/A
1127400,N/A
629730,N/A
1363080,N/A
410900,N/A
1337520,N/A
304430,"7 Jul, 2016"
1044720,N/A
230290,N/A
1170950,N/A
505460,N/A
2215430,"16 May, 2024"
2358720,N/A
2406770,N/A
2527500,N/A
1062520,N/A
625960,N/A
12200,N/A
3097560,N/A
110800,N/A
1548850,N/A
3107330,N/A
496240,N/A
1845910,N/A
2075070,N/A
1262350,N/A
2670630,N/A
1151340,N/A
1203620,"24 Jan, 2024"
669330,N/A
1172620,N/A
2479810,N/A
990080,N/A
1158160,N/A
238460,"15 May, 2014"
108600,N/A
1371980,N/A
2679460,N/A
2513280,N/A
1063730,N/A
1061910,N/A
1062090,N/A
1056960,"25 Jul, 2019"
1057090,N/A
1055540,N/A
1054490,N/A
1043810,N/A
1029690,N/A
997010,N/A
979690,N/A
976310,"23 Apr, 2019"
973230,N/A
969990,N/A
962730,N/A
961200,N/A
955050,N/A
954740,"Nov 14, 2019"
954850,N/A
952060,N/A
939960,N/A
920210,"Apr 5, 2022"
882100,"23 Apr, 2020"
874260,N/A
861650,N/A
860510,N/A
859580,N/A
858820,N/A
851850,"16 Jan, 2020"
2878980,N/A
285900,N/A
1938090,N/A
469600,N/A
707030,N/A
703080,N/A
394690,N/A
1957780,N/A
581320,N/A
1778820,"Jan 25, 2024"
686810,N/A
585420,N/A
589290,N/A
1211020,N/A
1145350,N/A
620980,N/A
962130,N/A
1623730,"18 Jan, 2024"
1171690,N/A
495420,N/A
1190970,N/A
346010,N/A
305620,"1 Aug, 2017"
1341290,N/A
1677280,N/A
1451190,N/A
1304930,N/A
548430,N/A
1716740,N/A
1184370,"Sep 2, 2021"
813780,N/A
1066780,N/A
2071280,N/A
322330,N/A
594650,N/A
1818750,N/A
756800,N/A
427520,N/A
518790,N/A
271590,N/A
204100,N/A
1404210,N/A
12210,N/A
1174180,"5 Dec, 2019"
107410,N/A
457140,N/A
1874880,N/A
1290000,"14 Jul, 2022"
552520,N/A
2694490,N/A
945360,N/A
1401590,N/A
1128920,"Apr 6, 2023"
2183900,N/A
633230,N/A
1144200,"Dec 13, 2023"
960090,N/A
1364780,N/A
2221490,N/A
1222670,"18 Jun, 2020"
264710,N/A
218620,"13 Aug, 2013"
1812450,N/A
534380,N/A
1659040,N/A
2198150,"23 Sep, 2024"
440900,N/A
1895880,"26 Jul, 2023"
1142710,N/A
2515020,N/A
261550,N/A
214950,N/A
294100,N/A
10500,"4 Mar, 2009"
779340,N/A
364360,N/A
34330,N/A
325610,N/A
2344520,N/A
1817230,N/A
712100,N/A
594570,"28 Sep, 2017"
1169040,N/A
601150,"7 Mar, 2019"
2050650,N/A
805550,N/A
753640,N/A
239140,N/A
1824220,N/A
977950,N/A
1336490,N/A
1274570,N/A
1030830,N/A
613100,N/A
1551360,N/A
314650,N/A
1455840,N/A
632360,N/A
1657630,N/A
252950,N/A
1940340,N/A
916440,N/A
387290,N/A
1088850,"Oct 26, 2021"
335670,N/A
949230,N/A
1458140,N/A
1435790,N/A
936790,N/A
1210320,N/A
252490,"8 Feb, 2018"
204360,N/A
1809540,N/A
924970,"12 Oct, 2021"
899770,N/A
926990,N/A
470220,N/A
65800,N/A
2669320,N/A
573090,N/A
451340,N/A
2280,"3 Aug, 2007"
1149620,N/A
814540,N/A
418460,N/A
701160,N/A
975370,N/A
895400,N/A
1139980,N/A
1669000,N/A
535930,N/A
270880,N/A
227300,N/A
1868140,N/A
774171,N/A
371970,N/A
1601580,N/A
1086940,N/A
431730,N/A
1774580,N/A
502500,"31 Jan, 2019"
8980,N/A
330830,N/A
532210,N/A
704850,N/A
17390,N/A
1150440,N/A
730,N/A
374320,N/A
377160,N/A
379430,"13 Feb, 2018"
379720,N/A
381210,N/A
382310,N/A
383870,"9 Feb, 2016"
384190,"2 Aug, 2016"
383980,N/A
388880,N/A
311210,"5 Nov, 2015"
389730,N/A
391220,N/A
392160,N/A
392110,N/A
393380,N/A
394360,N/A
397540,N/A
400750,"11 Jun, 2021"
427290,N/A
427730,N/A
428690,N/A
429660,N/A
431240,"19 May, 2020"
431960,16/nov./2018
433340,N/A
435150,N/A
445980,N/A
447040,"28 Nov, 2016"
454650,N/A
569480,N/A
570940,N/A
571740,"18 Aug, 2023"
573100,N/A
578080,"21 Dec, 2017"
578650,N/A
582160,"26 Oct, 2017"
582010,N/A
582660,N/A
584400,"29 Aug, 2017"
588650,"6 Aug, 2018"
590380,N/A
609320,N/A
611790,N/A
613830,"27 Feb, 2018"
617290,N/A
621060,N/A
627270,"30 Nov, 2017"
629760,"29 Apr, 2019"
632470,"15 Oct, 2019"
635260,N/A
637090,N/A
637650,"6 Mar, 2018"
640820,N/A
641320,N/A
641990,N/A
644560,N/A
645630,N/A
646910,N/A
648350,"11 Jun, 2018"
666140,"15 Jan, 2019"
667970,N/A
668580,N/A
671860,N/A
673130,N/A
673880,N/A
674140,N/A
675010,N/A
674940,N/A
704270,N/A
1544020,N/A
1556790,N/A
1562430,N/A
1569040,N/A
2322010,"19 Sep, 2024"
2338770,N/A
2195250,N/A
1583230,"13 Dec, 2022"
1621690,N/A
1629520,N/A
1637320,N/A
1672970,N/A
1677770,N/A
1681430,N/A
1703340,N/A
476600,"2 Nov, 2017"
480490,N/A
482400,N/A
485510,"7 Nov, 2017"
488790,"16 Oct, 2017"
489940,N/A
489830,N/A
492720,N/A
493490,N/A
493340,"17 Nov, 2016"
494840,N/A
498240,N/A
504370,N/A
508440,N/A
512900,"12 Jul, 2019"
513710,"17 Jun, 2025"
527430,N/A
527230,"19 Apr, 2018"
529340,N/A
531510,N/A
536220,N/A
537800,N/A
541570,N/A
544750,N/A
546560,N/A
552500,N/A
1096530,N/A
1082430,N/A
1084600,N/A
1085510,N/A
1091500,"9 Dec, 2020"
1092790,N/A
517630,"4 Dec, 2018"
519860,N/A
521890,N/A
524220,N/A
1100600,N/A
1105670,N/A
1106840,N/A
1113120,N/A
1114150,"29 Aug, 2024"
1119730,N/A
1124300,N/A
1126320,N/A
1129580,N/A
1135690,"1 Nov, 2021"
1139900,N/A
1145360,N/A
1149460,N/A
1158310,N/A
1161580,"24 May, 2022"
1172380,"14 Nov, 2019"
1313140,N/A
1313860,N/A
1318690,N/A
1328670,"14 May, 2021"
1332010,N/A
1359090,N/A
1361510,N/A
1366540,N/A
1384160,N/A
1385380,N/A
1388880,"30 Jun, 2021"
1390350,N/A
1392820,N/A
1904540,"8 Nov, 2022"
2291760,N/A
