steam_appid,name,developers,publishers,categories,genres,required_age,n_achievements,platforms,total_reviews,total_positive,total_negative,review_score,review_score_desc,positive_percentual,metacritic,is_free,price_initial (USD),current_player_count,release_date
960990,Beyond: Two Souls,['Quantic Dream'],['Quantic Dream'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']","['Action', 'Adventure']",76,45,['windows'],5133,4354,779,8.0,Very Positive,84.8,76,False,19.99,218,N/A
953490,CARRION,['Phobia Game Studio'],['Devolver Digital'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure', 'Indie']",75,21,"['windows', 'mac', 'linux']",13822,13121,701,8.0,Very Positive,94.9,75,False,19.99,64,"23 Jul, 2020"
930210,HuniePop 2: Double Date,['HuniePot'],['HuniePot'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Family Sharing']","['Indie', 'RPG', 'Simulation', 'Strategy']",0,20,"['windows', 'mac']",7266,6659,607,8.0,Very Positive,91.6,0,False,19.99,106,N/A
927380,Yakuza Kiwami 2,['Ryu Ga Gotoku Studio'],['SEGA'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure', 'RPG']",82,59,['windows'],7367,7101,266,9.0,Overwhelmingly Positive,96.4,82,False,19.99,281,N/A
914620,Mist Survival,['Dimension 32 Entertainment'],['Dimension 32 Entertainment'],"['Single-player', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'Simulation', 'Early Access']",0,0,['windows'],6727,5201,1526,6.0,Mostly Positive,77.3,0,False,10.99,64,N/A
913740,WORLD OF HORROR,['panstasz'],"['Ysbryd Games', 'PLAYISM']","['Single-player', 'Family Sharing']","['Indie', 'RPG']",77,0,"['windows', 'mac']",5728,5394,334,8.0,Very Positive,94.2,77,False,19.99,29,N/A
750920,Shadow of the Tomb Raider: Definitive Edition,"['Eidos-Montréal', 'Crystal Dynamics', 'Nixxes', 'Feral Interactive (Mac)', 'Feral interactive (Linux)']","['Crystal Dynamics', 'Feral Interactive (Mac)', 'Feral interactive (Linux)']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure']",77,99,"['windows', 'mac', 'linux']",20445,17392,3053,8.0,Very Positive,85.1,77,False,0.0,618,"14 Sep, 2018"
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,['Bethesda Game Studios®'],['Bethesda Softworks'],"['Single-player', 'Steam Cloud', 'Family Sharing']",[],94,0,['windows'],29186,27926,1260,9.0,Overwhelmingly Positive,95.7,94,False,19.99,356,N/A
892970,Valheim,['Iron Gate AB'],['Coffee Stain Publishing'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",0,0,"['windows', 'mac', 'linux']",238438,226609,11829,9.0,Overwhelmingly Positive,95.0,0,False,19.99,19335,"2 Feb, 2021"
885970,Total War: ROME REMASTERED,"['Creative Assembly', 'Feral Interactive']",['SEGA'],"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Family Sharing']",['Strategy'],0,192,"['windows', 'mac', 'linux']",7036,5397,1639,6.0,Mostly Positive,76.7,0,False,29.99,751,N/A
